Day fraction since midnight on 	photometer (V)	photometer (mg/L)
0.6619589057	13.6863622665	24.5009918213
0.6620167769	13.6863002777	24.5573654175
0.6620746519	13.6865653992	24.5813961029
0.6621325208	13.6865606308	24.6037216187
0.6621903927	13.6865148544	24.6469116211
0.6622482584	13.6864509583	24.7026901245
0.6623061258	13.6865901947	24.7432708740
0.6623639962	13.6865520477	24.7781333923
0.6624218742	13.6861543655	24.7743873596
0.6624797479	13.6866760254	24.7806129456
0.6625375999	13.6864871979	24.8403911591
0.6625954921	13.6863784790	24.9136772156
0.6626533402	13.6864519119	24.9531383514
0.6627112308	13.6864690781	24.9999408722
0.6627690886	13.6863031387	25.0249195099
0.6628269541	13.6865129471	25.0517368317
0.6628848452	13.6861515045	25.0703010559
0.6629426910	13.6865625381	25.0969924927
0.6630005714	13.6864233017	25.1395378113
0.6630584364	13.6862840652	25.1940059662
0.6631163205	13.6864833832	25.2206153870
0.6631741845	13.6867237091	25.2457485199
0.6632320516	13.6864261627	25.2840232849
0.6632899169	13.6864423752	25.3152847290
0.6633477914	13.6865987778	25.3550186157
0.6634056481	13.6865758896	25.3879241943
0.6634635354	13.6861944199	25.4305953979
0.6635213932	13.6865129471	25.4803371429
0.6635792714	13.6863765717	25.5296401978
0.6636371459	13.6864891052	25.5576248169
0.6636950316	13.6864900589	25.5778465271
0.6637528750	13.6865005493	25.6066551208
0.6638107402	13.6864290237	25.6605072021
0.6638686174	13.6864147186	25.6988697052
0.6639264943	13.6863603592	25.7334327698
0.6639843610	13.6864795685	25.7652988434
0.6640422298	13.6864690781	25.8021373749
0.6641001153	13.6862878799	25.8286895752
0.6641579661	13.6865100861	25.8610172272
0.6642158578	13.6864671707	25.8819236755
0.6642737084	13.6865186691	25.9160175323
0.6643315840	13.6865091324	25.9645042419
0.6643894467	13.6865444183	26.0052947998
0.6644473052	13.6865367889	26.0269889832
0.6645051887	13.6862936020	26.0463733673
0.6645630597	13.6865091324	26.0782985687
0.6646209313	13.6864118576	26.1186847687
0.6646787930	13.6862373352	26.1714725494
0.6647366699	13.6864166260	26.1997470856
0.6647945251	13.6864433289	26.2375259399
0.6648523978	13.6863708496	26.2697029114
0.6649102641	13.6864280701	26.3034267426
0.6649681341	13.6863203049	26.3273086548
0.6650260140	13.6865129471	26.3547821045
0.6650838726	13.6863508224	26.3940887451
0.6651417480	13.6864185333	26.4434165955
0.6651996113	13.6865453720	26.4804420471
0.6652575083	13.6865444183	26.5119533539
0.6653153536	13.6863613129	26.5491580963
0.6653732300	13.6863241196	26.5908641815
0.6654311009	13.6864757538	26.6256065369
0.6654889706	13.6864280701	26.6475219727
0.6655468293	13.6863021851	26.6688880920
0.6656047183	13.6863613129	26.7090873718
0.6656625753	13.6865425110	26.7576370239
0.6657204453	13.6862821579	26.7963485718
0.6657783243	13.6863374710	26.8216533661
0.6658361849	13.6864719391	26.8460941315
0.6658940453	13.6864900589	26.8928756714
0.6659519140	13.6863489151	26.9267578125
0.6660097971	13.6864051819	26.9589672089
0.6660676560	13.6865205765	26.9772644043
0.6661255340	13.6866016388	27.0154876709
0.6661833966	13.6863479614	27.0477600098
0.6662412815	13.6865158081	27.0896453857
0.6662991543	13.6867485046	27.1139812469
0.6663570047	13.6865663528	27.1419067383
0.6664148938	13.6862735748	27.1706752777
0.6664727419	13.6864109039	27.2060604095
0.6665306110	13.6867027283	27.2380008698
0.6665884897	13.6863431931	27.2700386047
0.6666463689	13.6863384247	27.3007411957
0.6667042229	13.6864337921	27.3558521271
