Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6412147670	3.6043095589	2.1467936039
0.6412263543	3.6152894497	2.1431391239
0.6412379372	3.6128880978	2.1439380646
0.6412494894	3.5980184078	2.1488893032
0.6412610885	3.6117539406	2.1443154812
0.6412726300	3.6875514984	2.1191840172
0.6412842033	3.7006287575	2.1148667336
0.6412957788	3.6990802288	2.1153776646
0.6413073546	3.7384715080	2.1024038792
0.6413189386	3.7973952293	2.0830886364
0.6413305042	3.8384408951	2.0696985722
0.6413420929	3.8201403618	2.0756621361
0.6413536624	3.8169193268	2.0767128468
0.6413652337	3.8167006969	2.0767841339
0.6413768102	3.8268954754	2.0734596252
0.6413883951	3.8488051891	2.0663259029
0.6413999607	3.8304612637	2.0722975731
0.6414115318	3.8359704018	2.0705029964
0.6414231102	3.8513453007	2.0654997826
0.6414346717	3.9008591175	2.0494375229
0.6414462553	3.9338293076	2.0387845039
0.6414578272	3.9386312962	2.0372357368
0.6414694165	3.9692099094	2.0273902416
0.6414809668	4.0117683411	2.0137357712
0.6414925349	4.0583114624	1.9988666773
0.6415041206	4.0648040771	1.9967979193
0.6415156855	3.9761466980	2.0251607895
0.6415272706	3.9046752453	2.0482027531
0.6415388521	3.8187506199	2.0761153698
0.6415504080	3.6594974995	2.1284642220
0.6415620066	3.5095102787	2.1785075665
0.6415735661	3.3538839817	2.2312030792
0.6415851435	3.3078587055	2.2469394207
0.6415967193	3.3546247482	2.2309503555
0.6416083054	3.3661396503	2.2270245552
0.6416198623	3.3562262058	2.2304041386
0.6416314301	3.4306650162	2.2051060200
0.6416430045	3.4816973209	2.1878671646
0.6416545760	3.4983818531	2.1822495461
0.6416661587	3.5156216621	2.1764543056
0.6416777336	3.5424377918	2.1674592495
0.6416893100	3.5523548126	2.1641385555
0.6417008769	3.5411794186	2.1678807735
0.6417124455	3.5652780533	2.1598160267
0.6417240310	3.6314852238	2.1377556324
0.6417355936	3.6712982655	2.1245574951
