Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.5900807217	0.1660949737	3.5043473244
0.5900922916	0.1734733582	3.5009257793
0.5901038850	0.1785313785	3.4985816479
0.5901154509	0.1779236794	3.4988632202
0.5901270032	0.1778470129	3.4988987446
0.5901385893	0.1896139383	3.4934494495
0.5901501689	0.2066640109	3.4855644703
0.5901617596	0.2048758119	3.4863908291
0.5901733120	0.2051430494	3.4862673283
0.5901848856	0.2122611851	3.4829788208
0.5901964694	0.2461057007	3.4673738480
0.5902080347	0.2657892704	3.4583215714
0.5902195996	0.2796214223	3.4519705772
0.5902311826	0.2925074399	3.4460616112
0.5902427696	0.3659507036	3.4125235081
0.5902543516	0.3320853412	3.4279587269
0.5902658960	0.3848222792	3.4039440155
0.5902774779	0.4973065257	3.3531284332
0.5902890575	0.4910538495	3.3559386730
0.5903006270	0.4721019864	3.3644669056
0.5903121965	0.4825564623	3.3597605228
0.5903237727	0.5051283240	3.3496153355
0.5903353518	0.5278637409	3.3394188881
0.5903469128	0.5855574608	3.3136444092
0.5903585017	0.6029193401	3.3059160709
0.5903700739	0.6014886498	3.3065524101
0.5903816607	0.7540013194	3.2392077446
0.5903932186	0.7716357112	3.2314846516
0.5904048133	0.7307512164	3.2494103909
0.5904163816	0.7116616368	3.2578043938
0.5904279403	0.8269124031	3.2073607445
0.5904395246	0.8937764168	3.1783511639
0.5904510846	0.8836021423	3.1827533245
0.5904626655	0.8730339408	3.1873304844
0.5904742393	0.9805727005	3.1409716606
0.5904858256	0.9754443169	3.1431715488
0.5904973931	1.0214517117	3.1234748363
0.5905089473	1.0856707096	3.0961270332
0.5905205384	1.0980519056	3.0908739567
0.5905320950	1.0667861700	3.1041514874
0.5905437009	1.1367954016	3.0744762421
0.5905552727	1.1478568316	3.0698058605
0.5905668312	1.2177567482	3.0404074192
0.5905784074	1.1728944778	3.0592527390
0.5905899806	1.2798906565	3.0144410133
0.5906015560	1.3129215240	3.0007002354
0.5906131326	1.3553982973	2.9830942154
0.5906247080	1.4219213724	2.9556658268
0.5906362749	1.4789890051	2.9322757721
0.5906478388	1.4794347286	2.9320936203
0.5906594358	1.3983772993	2.9653532505
0.5906709836	1.4086807966	2.9611110687
0.5906825694	1.5746860504	2.8933405876
0.5906941619	1.5543402433	2.9015884399
0.5907057179	1.6548113823	2.8610160351
0.5907172845	1.7706803083	2.8147110939
0.5907288739	1.7381994724	2.8276393414
0.5907404383	1.7662189007	2.8164844513
0.5907520153	1.7744719982	2.8132045269
0.5907635917	1.8305473328	2.7909882069
0.5907751613	1.8291300535	2.7915482521
0.5907867519	1.8117542267	2.7984204292
0.5907983165	1.8410363197	2.7868459225
0.5908098844	1.9505362511	2.7438516617
0.5908214546	1.9742915630	2.7345840931
0.5908330374	2.0084273815	2.7213039398
0.5908446087	2.0123548508	2.7197787762
0.5908561820	2.0233633518	2.7155070305
0.5908677613	2.0947380066	2.6879200935
0.5908793405	2.1658372879	2.6606276035
0.5908909004	2.1509826183	2.6663143635
0.5909024972	2.2849957943	2.6153044701
0.5909140586	2.2846345901	2.6154410839
0.5909256116	2.3363006115	2.5959498882
0.5909371925	2.3474845886	2.5917434692
0.5909487729	2.3911249638	2.5753731728
0.5909603358	2.3544237614	2.5891358852
0.5909719466	2.3470559120	2.5919046402
0.5909834950	2.4333999157	2.5595805645
0.5909950718	2.4407057762	2.5568578243
0.5910066479	2.4615657330	2.5490944386
0.5910182237	2.4635684490	2.5483498573
0.5910298046	2.5682823658	2.5096209049
0.5910413603	2.5288450718	2.5241611004
0.5910529409	2.5972764492	2.4989662170
0.5910645227	2.6408004761	2.4830279350
0.5910761010	2.6328361034	2.4859395027
0.5910876808	2.6203401089	2.4905121326
0.5910992327	2.6804177761	2.4685783386
0.5911108219	2.7437608242	2.4455895424
0.5911223944	2.7920889854	2.4281442165
0.5911339437	2.7779300213	2.4332468510
0.5911455381	2.8233597279	2.4168994427
0.5911571040	2.8570525646	2.4048216343
0.5911686965	2.8686711788	2.4006657600
0.5911802523	2.9489150047	2.3720903397
0.5911918314	2.8947136402	2.3913676739
0.5912033883	2.9577739239	2.3689491749
0.5912149814	2.9472806454	2.3726701736
0.5912265418	2.9260535240	2.3802089691
0.5912381291	2.9010283947	2.3891165257
0.5912497087	2.9535548687	2.3704447746
0.5912612766	3.0405786037	2.3397176266
0.5912728323	3.0662136078	2.3307151794
0.5912844247	3.0880892277	2.3230504990
0.5912960116	3.0790770054	2.3262062073
0.5913075631	3.0520348549	2.3356916904
0.5913191360	3.1453621387	2.3030600548
0.5913307275	3.1712138653	2.2940728664
0.5913422918	3.1701076031	2.2944569588
0.5913538710	3.1878182888	2.2883121967
0.5913654357	3.2422451973	2.2694942951
0.5913770321	3.2372171879	2.2712285519
0.5913885874	3.2929909229	2.2520377636
0.5914001592	3.2830431461	2.2554531097
0.5914117329	3.2880787849	2.2537238598
0.5914233364	3.3559737206	2.2304902077
0.5914348993	3.3291561604	2.2396490574
0.5914464675	3.3393108845	2.2361781597
0.5914580296	3.3775045872	2.2231540680
0.5914696027	3.3357782364	2.2373852730
0.5914811640	3.3800384998	2.2222917080
0.5914927649	3.3791670799	2.2225883007
0.5915043394	3.4119875431	2.2114365101
0.5915159052	3.4147927761	2.2104849815
0.5915274728	3.4618227482	2.1945707798
0.5915390379	3.4525654316	2.1976976395
0.5915506228	3.5041851997	2.1802976131
0.5915622036	3.5346298218	2.1700758934
0.5915737634	3.5125343800	2.1774914265
0.5915853312	3.5156891346	2.1764316559
0.5915969304	3.5503013134	2.1648259163
0.5916084960	3.5579235554	2.1622753143
0.5916200544	3.5750415325	2.1565539837
0.5916316409	3.5633511543	2.1604602337
0.5916432164	3.5811059475	2.1545293331
0.5916548087	3.6335959435	2.1370546818
0.5916663713	3.6314947605	2.1377525330
0.5916779239	3.5952796936	2.1498019695
0.5916895186	3.6191961765	2.1418397427
0.5917010854	3.6518104076	2.1310114861
0.5917126566	3.6752305031	2.1232566833
0.5917242339	3.6994731426	2.1152479649
0.5917358002	3.7138872147	2.1104950905
0.5917473942	3.7015585899	2.1145598888
0.5917589426	3.6770861149	2.1226429939
0.5917705149	3.6836817265	2.1204626560
0.5917821088	3.7489061356	2.0989754200
0.5917936676	3.7421288490	2.1012017727
0.5918052675	3.7347834110	2.1036164761
0.5918168422	3.7418146133	2.1013050079
0.5918284044	3.7393708229	2.1021082401
0.5918399649	3.7429277897	2.1009392738
0.5918515384	3.7267816067	2.1062488556
0.5918631133	3.7570419312	2.0963046551
0.5918746839	3.7759759426	2.0900971889
0.5918862700	3.7812328339	2.0883758068
0.5918978396	3.7949390411	2.0838916302
0.5919094162	3.8005008698	2.0820736885
0.5919210112	3.8143274784	2.0775585175
0.5919325842	3.8442921638	2.0677940845
0.5919441281	3.8495373726	2.0660877228
0.5919557053	3.8421001434	2.0685074329
0.5919672932	3.8654353619	2.0609211922
0.5919788796	3.8445529938	2.0677092075
0.5919904447	3.8495161533	2.0660946369
0.5920020121	3.8579337597	2.0633580685
0.5920135776	3.8531851768	2.0649015903
0.5920251537	3.8558151722	2.0640466213
0.5920367458	3.8650343418	2.0610513687
0.5920482945	3.8671343327	2.0603694916
0.5920598660	3.8659045696	2.0607688427
0.5920714671	3.8713855743	2.0589895248
0.5920830160	3.8864259720	2.0541117191
0.5920946128	3.8932406902	2.0519039631
0.5921061716	3.8932900429	2.0518879890
0.5921177491	3.8879284859	2.0536248684
0.5921293354	3.8869688511	2.0539357662
0.5921409046	3.8908603191	2.0526750088
0.5921524606	3.8968913555	2.0507218838
0.5921640585	3.9102299213	2.0464062691
0.5921756100	3.9045102596	2.0482561588
0.5921871990	3.9112954140	2.0460617542
0.5921987641	3.9092817307	2.0467128754
0.5922103300	3.9070723057	2.0474274158
0.5922219289	3.9047122002	2.0481908321
0.5922335094	3.9110336304	2.0461463928
0.5922450558	3.9107999802	2.0462219715
0.5922566269	3.9170854092	2.0441904068
0.5922682112	3.9141285419	2.0451459885
0.5922797993	3.9138879776	2.0452237129
0.5922913540	3.9158430099	2.0445919037
0.5923029525	3.9143173695	2.0450849533
0.5923145220	3.9123575687	2.0457184315
0.5923260995	3.9091143608	2.0467669964
0.5923376523	3.9083373547	2.0470182896
