Day fraction since midnight on 	pH probe (pH)	pH probe (pH)
0.6137900284	8.1032857895	7.9450440407
0.6138015954	8.1033687592	7.9451293945
0.6138131624	8.1033630371	7.9451231956
0.6138247525	8.1043100357	7.9460911751
0.6138363245	8.1042146683	7.9459939003
0.6138478959	8.1038284302	7.9455990791
0.6138594656	8.1051855087	7.9469866753
0.6138710342	8.1034193039	7.9451808929
0.6138826243	8.1038169861	7.9455871582
0.6138941931	8.1057224274	7.9475355148
0.6139057601	8.1037616730	7.9455308914
0.6139173270	8.1044569016	7.9462418556
0.6139289171	8.1045799255	7.9463672638
0.6139404841	8.1035099030	7.9452733994
0.6139520511	8.1035890579	7.9453544617
0.6139636412	8.1035051346	7.9452691078
0.6139752082	8.1044683456	7.9462532997
0.6139867751	8.1044778824	7.9462633133
0.6139983668	8.1038789749	7.9456510544
0.6140099372	8.1040992737	7.9458756447
0.6140215068	8.1041030884	7.9458799362
0.6140330758	8.1039419174	7.9457144737
0.6140446427	8.1043939590	7.9461774826
0.6140562328	8.1049127579	7.9467072487
0.6140678019	8.1041021347	7.9458789825
0.6140793689	8.1045618057	7.9463481903
0.6140909359	8.1043996811	7.9461836815
0.6141025259	8.1073827744	7.9492325783
0.6141140929	8.1043033600	7.9460844994
0.6141256599	8.1035041809	7.9452672005
0.6141372501	8.1046533585	7.9464421272
0.6141488170	8.1042203903	7.9459991455
0.6141603864	8.1043395996	7.9461221695
0.6141719552	8.1043033600	7.9460844994
0.6141835474	8.1036243439	7.9453902245
0.6141951163	8.1031236649	7.9448790550
0.6142066855	8.1035604477	7.9453253746
0.6142182525	8.1037607193	7.9455299377
0.6142298426	8.1035032272	7.9452667236
0.6142414095	8.1051063538	7.9469051361
0.6142529786	8.1041183472	7.9458947182
0.6142645456	8.1059732437	7.9477920532
0.6142761357	8.1053543091	7.9471592903
0.6142877027	8.1033086777	7.9450669289
0.6142992713	8.1035079956	7.9452710152
0.6143108636	8.1037902832	7.9455604553
0.6143224323	8.1034231186	7.9451847076
0.6143339992	8.1034755707	7.9452385902
0.6143455662	8.1031255722	7.9448809624
0.6143571585	8.1028833389	7.9446330070
0.6143687254	8.1035203934	7.9452843666
0.6143802924	8.1028480530	7.9445967674
0.6143918825	8.1033697128	7.9451303482
0.6144034495	8.1041231155	7.9458999634
0.6144150164	8.1042003632	7.9459795952
0.6144265834	8.1055517197	7.9473605156
0.6144381735	8.1035804749	7.9453454018
0.6144497405	8.1045703888	7.9463577271
0.6144613075	8.1048564911	7.9466500282
0.6144729015	8.1040010452	7.9457755089
0.6144844701	8.1061573029	7.9479799271
0.6144960371	8.1040678024	7.9458441734
0.6145076040	8.1055765152	7.9473857880
0.6145191982	8.1071863174	7.9490318298
0.6145307652	8.1043176651	7.9460992813
0.6145423350	8.1030120850	7.9447641373
0.6145539020	8.1037378311	7.9455060959
0.6145654921	8.1044454575	7.9462294579
0.6145770630	8.1051387787	7.9469385147
0.6145886349	8.1045618057	7.9463486671
0.6146002018	8.1061210632	7.9479432106
0.6146117688	8.1044054031	7.9461889267
0.6146233612	8.1051416397	7.9469413757
0.6146349325	8.1054153442	7.9472212791
0.6146465050	8.1091537476	7.9510436058
0.6146580974	8.1034927368	7.9452557564
0.6146696412	8.1044111252	7.9461946487
0.6146812313	8.1033620834	7.9451227188
0.6146928214	8.1047992706	7.9465913773
0.6147043724	8.1047220230	7.9465126991
0.6147159440	8.1062765121	7.9481019974
0.6147275109	8.1028852463	7.9446344376
0.6147391031	8.1049699783	7.9467663765
0.6147506732	8.1046619415	7.9464507103
0.6147622449	8.1055831909	7.9473924637
0.6147738182	8.1031494141	7.9449048042
0.6147853877	8.1057958603	7.9476103783
0.6147969547	8.1078357697	7.9496960640
0.6148085448	8.1064023972	7.9482302666
0.6148201147	8.1040859222	7.9458622932
0.6148316816	8.1034431458	7.9452052116
