Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6197102271	4.1924033165	1.9564000368
0.6197218112	4.1755495071	1.9617074728
0.6197333660	4.1546726227	1.9682937860
0.6197449634	4.1363959312	1.9740707874
0.6197565265	4.1059379578	1.9837205410
0.6197681000	4.0677952766	1.9958450794
0.6197796794	4.0681123734	1.9957441092
0.6197912434	4.0537037849	2.0003356934
0.6198028231	4.0433626175	2.0036351681
0.6198143868	4.0126700401	2.0134470463
0.6198259743	3.9982879162	2.0180547237
0.6198375374	3.9797470570	2.0240042210
0.6198491358	3.9645247459	2.0288968086
0.6198606769	3.9549863338	2.0319662094
0.6198722720	3.9368007183	2.0378260612
0.6198838281	3.9130861759	2.0454828739
0.6198953988	3.8838152885	2.0549578667
0.6199069843	3.8746910095	2.0579168797
0.6199185607	3.8522546291	2.0652041435
0.6199301371	3.8555862904	2.0641210079
0.6199417291	3.8348863125	2.0708560944
0.6199533009	3.8097805977	2.0790426731
0.6199648598	3.7882826328	2.0860686302
0.6199764367	3.7715992928	2.0915310383
0.6199880323	3.7546277046	2.0970969200
0.6199995768	3.7356615067	2.1033277512
0.6200111550	3.7256703377	2.1066145897
0.6200227323	3.7258529663	2.1065545082
0.6200342968	3.6863636971	2.1195764542
0.6200458777	3.6638479233	2.1270234585
0.6200574491	3.6648862362	2.1266796589
0.6200690141	3.6359410286	2.1362760067
0.6200806034	3.6025435925	2.1473817825
0.6200921572	3.5963950157	2.1494302750
0.6201037414	3.5919611454	2.1509082317
0.6201153196	3.5728642941	2.1572811604
0.6201268928	3.5687730312	2.1586480141
0.6201384762	3.5589463711	2.1619331837
0.6201500688	3.5406444073	2.1680600643
0.6201616167	3.5146300793	2.1767873764
0.6201731841	3.4986822605	2.1821484566
0.6201847563	3.4890215397	2.1854000092
0.6201963436	3.4691987038	2.1920814514
0.6202079106	3.5127580166	2.1774163246
0.6202194835	3.4377663136	2.2027020454
0.6202310754	3.4205095768	2.2085466385
0.6202426315	3.3927881718	2.2179558277
0.6202542044	3.3905448914	2.2187182903
0.6202657968	3.3678750992	2.2264332771
0.6202773556	3.3514914513	2.2320194244
0.6202889402	3.3422844410	2.2351624966
0.6203005054	3.3211741447	2.2423796654
0.6203120767	3.3180255890	2.2434573174
0.6203236571	3.2928855419	2.2520740032
0.6203352276	3.2847285271	2.2548742294
0.6203467902	3.2784261703	2.2570393085
0.6203583868	3.2621679306	2.2626307011
0.6203699481	3.2433514595	2.2691128254
0.6203815404	3.2357833385	2.2717232704
0.6203930919	3.1462600231	2.3027474880
0.6204046786	3.0933222771	2.3212194443
0.6204162490	3.0756971836	2.3273904324
0.6204278237	3.0641331673	2.3314449787
0.6204393791	3.0474429131	2.3373048306
0.6204509616	3.0380272865	2.3406147957
0.6204625308	3.0278933048	2.3441805840
0.6204741210	3.0169818401	2.3480238914
0.6204857085	3.0007159710	2.3537607193
0.6204972605	2.9869122505	2.3586361408
0.6205088273	2.9667217731	2.3657791615
0.6205204011	2.9808700085	2.3607723713
0.6205319985	2.9125847816	2.3850004673
0.6205435484	2.9149491787	2.3841588497
0.6205551309	2.9063036442	2.3872370720
0.6205667084	2.8940989971	2.3915867805
0.6205782881	2.8857600689	2.3945617676
0.6205898507	2.8682169914	2.4008281231
0.6206014165	2.8531227112	2.4062283039
0.6206130014	2.8434381485	2.4096972942
0.6206245775	2.8347892761	2.4127979279
0.6206361501	2.8257160187	2.4160535336
0.6206477238	2.8132569790	2.4205286503
0.6206593059	2.7965798378	2.4265272617
0.6206708907	2.7845935822	2.4308445454
0.6206824588	2.7722558975	2.4352936745
0.6206940322	2.7663536072	2.4374239445
0.6207055943	2.7517781258	2.4426898956
0.6207171636	2.7344825268	2.4489481449
0.6207287505	2.7095134258	2.4580013752
0.6207403366	2.7035908699	2.4601519108
0.6207519095	2.6918454170	2.4644205570
0.6207634604	2.6765425205	2.4699892998
0.6207750314	2.6512253284	2.4792203903
0.6207866092	2.6438956261	2.4818971157
0.6207982051	2.6395747662	2.4834759235
0.6208097657	2.6260197163	2.4884331226
0.6208213268	2.6157341003	2.4921989441
0.6208328959	2.6005399227	2.4977688789
0.6208444782	2.5885422230	2.5021727085
0.6208560474	2.5814805031	2.5047671795
0.6208676181	2.5671544075	2.5100359917
0.6208792054	2.5502736568	2.5162537098
0.6208907831	2.5384595394	2.5206112862
0.6209023560	2.5285024643	2.5242877007
0.6209139281	2.5167508125	2.5286312103
0.6209255154	2.5253810883	2.5254409313
0.6209370737	2.5020155907	2.5340845585
0.6209486380	2.4906508923	2.5382957458
0.6209602292	2.4762814045	2.5436270237
0.6209717962	2.4577128887	2.5505270958
0.6209833749	2.4351184368	2.5589399338
0.6209949491	2.4267652035	2.5620548725
0.6210065194	2.4183030128	2.5652129650
0.6210181014	2.4118697643	2.5676155090
0.6210296814	2.4075379372	2.5692341328
0.6210412315	2.4731390476	2.5447938442
0.6210528199	2.3894112110	2.5760147572
0.6210643836	2.3786921501	2.5800299644
0.6210759567	2.3671789169	2.5843472481
0.6210875395	2.3586704731	2.5875408649
0.6210991182	2.3458199501	2.5923693180
0.6211107025	2.3328008652	2.5972671509
0.6211222648	2.3235719204	2.6007428169
0.6211338342	2.3158895969	2.6036384106
0.6211454108	2.3023865223	2.6087331772
0.6211569885	2.2793681622	2.6174333096
0.6211685566	2.2618322372	2.6240742207
0.6211801184	2.2516531944	2.6279342175
0.6211916915	2.2470405102	2.6296846867
0.6212032637	2.2462754250	2.6299750805
0.6212148650	2.2320351601	2.6353843212
0.6212264244	2.2238574028	2.6384940147
0.6212380080	2.2140185833	2.6422386169
0.6212495667	2.2082505226	2.6444356441
0.6212611464	2.1895194054	2.6515784264
0.6212727128	2.1777012348	2.6560916901
0.6212842903	2.1732952595	2.6577756405
0.6212958680	2.1674740314	2.6600015163
0.6213074358	2.1533329487	2.6654140949
0.6213190093	2.1476559639	2.6675889492
0.6213305870	2.1338412762	2.6728866100
0.6213421683	2.1175761223	2.6791329384
0.6213537295	2.1066260338	2.6833436489
0.6213653027	2.0954046249	2.6876633167
0.6213768879	2.0826148987	2.6925923824
0.6213884797	2.0733315945	2.6961739063
0.6214000264	2.0667865276	2.6987009048
0.6214116308	2.0486078262	2.7057280540
0.6214231953	2.0284361839	2.7135400772
0.6214347519	2.0207355022	2.7165262699
0.6214463525	2.0181183815	2.7175416946
0.6214578977	2.0132551193	2.7194292545
0.6214694951	2.0044393539	2.7228531837
0.6214810562	1.9939377308	2.7269356251
0.6214926241	1.9873195887	2.7295105457
0.6215042057	1.9785894156	2.7329096794
0.6215157644	1.9713612795	2.7357261181
0.6215273496	1.9629336596	2.7390124798
0.6215389153	1.9548144341	2.7421810627
0.6215504964	1.9444184303	2.7462418079
0.6215620742	1.9372330904	2.7490508556
0.6215736523	1.9178435802	2.7566406727
0.6215852158	1.9163777828	2.7572150230
0.6215967859	1.9048600197	2.7617309093
0.6216083669	1.8903813362	2.7674148083
0.6216199464	1.8895959854	2.7677233219
0.6216315127	1.8802934885	2.7713797092
0.6216430914	1.8726360798	2.7743918896
0.6216546561	1.8694212437	2.7756571770
0.6216662432	1.8552175760	2.7812521458
0.6216778008	1.8399889469	2.7872593403
0.6216893892	1.8298081160	2.7912802696
0.6217009569	1.8198211193	2.7952284813
0.6217125399	1.8182239532	2.7958602905
0.6217240957	1.8166913986	2.7964665890
0.6217356839	1.8074575663	2.8001215458
0.6217472636	1.7892296314	2.8073461056
0.6217588300	1.7778658867	2.8118565083
0.6217704118	1.7675406933	2.8159589767
0.6217819790	1.7569968700	2.8201525211
0.6217935461	1.7507658005	2.8226327896
0.6218051223	1.7407882214	2.8266074657
0.6218167071	1.7312642336	2.8304049969
0.6218282729	1.7215692997	2.8342742920
0.6218398555	1.7183388472	2.8355643749
0.6218514195	1.7028615475	2.8417508602
0.6218629915	1.6850763559	2.8488712311
0.6218745661	1.6811078787	2.8504617214
0.6218861319	1.6763328314	2.8523762226
0.6218977153	1.6708636284	2.8545701504
0.6219092946	1.6626123190	2.8578822613
0.6219208878	1.6546797752	2.8610689640
0.6219324352	1.6447187662	2.8650739193
0.6219440065	1.6368945837	2.8682224751
0.6219555875	1.6290183067	2.8713943958
