Sample Volume (ml)	50.944000 
Titrant normality	0.050000 
Equivalent Volume (ml)	0.965355 
ANC (eq/L)	0.000947 
correlation coefficient	0.999955 

Titrant Volume (ml)	pH	F1
0.000000	7.124802	0.000000
0.700000	5.700387	0.000002
0.800000	5.431286	0.000004
0.900000	5.014535	0.000010
1.000000	4.355597	0.000045
1.100000	3.880128	0.000135
1.200000	3.635930	0.000237
1.300000	3.485336	0.000335
